t,id_,Nombre / Name,Departamento / State,Municipio / Town,,Territorio / Territory,Tipo territorio / Territory type,Grupos étnicos / Ethnic groups,Estado / Status (Estándar),,,Duración (años) / Length (years),Periodo de acreditación / Credited period,Área proyecto / Project area (hectáreas),id_empresa_responsavel,Empresa Desarrolladora / Developing company,Estándar de certificación / Certification standard,Metodología / Methodology,Verificador/Verifying company,Año validación / Year validated,URL PDD,URL OVV informe/report,Website certificador,Website proyecto,Perfil / Profile,Perfil corregido,Georreferencia de los limites del proyecto,Latitude de la centroid del proyecto,Longitude de la centroid del proyecto,Amazonia,País,Bioma,Fuente 1 / Source 1,Fuente 2 / Source 2,Fuente 3 / Source 3,Fuente 4 / Source 4,Fuente 5 / Source 5,Fuente 6 / Source 6,Fuente 6 / Source 7,notas,notas,notas,notas,
BR3430VER,3430,Juruá REDD+ Project  ,Acre,"Cruzeiro do Sul, Porto Walter",AC,Privado ,,,Registration and verification approval requested,INCRA,,30,2020-2050,24076,07.746.411/0001-70,CARBONO FÁCIL — PROJETOS E SISTEMAS DE CERTIFICAÇÃO,Verra,VM0015,Earthood Services Private Limited (ESPL),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=70168&IDKEY=08723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq096761672,,Verra Search Page,https://www.biofilica.com.br/projeto-redd-jurua/,"O Projeto é uma parceria entre a Biofílica Ambipar Meio Ambiente e a Amazônia Agroindústria EIRELI, com o objetivo de promover a conservação florestal e a redução das emissões potenciais de gases de efeito estufa a partir de um modelo de desenvolvimento econômico local que valorize a floresta em pé por meio da integração do manejo de produtos florestais não madeireiros e da comercialização de serviços ambientais. Está localizado na propriedade Seringal Valparaíso, na região do Alto Juruá, entre os municípios de Cruzeiro do Sul e Porto Walter, abrangendo uma área de 24.076 hectares. O objetivo é reduzir as emissões de GEE das atividades de conservação da floresta e de seus recursos naturais, bem como manter os estoques de carbono, por meio de atividades que promovam a redução do desmatamento na região, como a melhoria da vigilância patrimonial, o monitoramento das mudanças no uso e cobertura da terra por meio de imagens de satélite e o fortalecimento do manejo de produtos florestais não madeireiros.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=70014&IDKEY=n8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0a96549306,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"As propriedade estão próximas a TI Arara do Igarapé Humaitá, do povo Arara do Acre.",IMPACTO PLUS CONSULTORIA E PRODUÇÕES LTDA,,,
BR3380VER,3380,SIMFlor Programme 1,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2022-2052,15121,,SIMFlor Ltd ,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75224&IDKEY=j0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9k103733896,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 1, doravante conhecido como ""SIMFlor1"", é um projeto agrupado localizado no arco do desmatamento no bioma amazônico. O SIMFlor1 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas sob ameaça de desmatamento para a expansão da pecuária extensiva, promovendo assim a conformidade com o Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=69365&IDKEY=a097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87o95654335,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://find-and-update.company-information.service.gov.uk/company/13816396/officers,"https://bvrio.org/pt-br/sobre-nos/#:~:text=A%20BVRio%20tem%20uma%20parceria,positivos%20em%20todo%20o%20mundo.",https://www.simflor.org/,"No projeto diz que a área concentra o arco do desmatamento no bioma amazônico, localizado na parte sul dos estados amazônicos. Em particular, ele se concentra na área de influência (250 km de raio) dos frigoríficos que se estabeleceram na região desde 2008. O programa não está localizado em uma jurisdição coberta por um programa jurisdicional de REDD+.","O georreferenciamento não mostra exatamente as propriedades, mas abrange uma grande extensão de terra, passando por várias terras indígenas. ",,,
BR3380VER,3380,SIMFlor Programme 1,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2022-2052,15121,,BVRio UK Limited,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75224&IDKEY=j0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9k103733896,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 1, doravante conhecido como ""SIMFlor1"", é um projeto agrupado localizado no arco do desmatamento no bioma amazônico. O SIMFlor1 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas sob ameaça de desmatamento para a expansão da pecuária extensiva, promovendo assim a conformidade com o Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=69365&IDKEY=a097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87o95654335,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://find-and-update.company-information.service.gov.uk/company/13816396/officers,"https://bvrio.org/pt-br/sobre-nos/#:~:text=A%20BVRio%20tem%20uma%20parceria,positivos%20em%20todo%20o%20mundo.",https://www.simflor.org/,"No projeto diz que a área concentra o arco do desmatamento no bioma amazônico, localizado na parte sul dos estados amazônicos. Em particular, ele se concentra na área de influência (250 km de raio) dos frigoríficos que se estabeleceram na região desde 2008. O programa não está localizado em uma jurisdição coberta por um programa jurisdicional de REDD+.","O georreferenciamento não mostra exatamente as propriedades, mas abrange uma grande extensão de terra, passando por várias terras indígenas. ",,,
BR3380VER,3380,SIMFlor Programme 1,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2022-2052,15121,,Ecosecurities ,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75224&IDKEY=j0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9k103733896,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 1, doravante conhecido como ""SIMFlor1"", é um projeto agrupado localizado no arco do desmatamento no bioma amazônico. O SIMFlor1 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas sob ameaça de desmatamento para a expansão da pecuária extensiva, promovendo assim a conformidade com o Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=69365&IDKEY=a097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87o95654335,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://find-and-update.company-information.service.gov.uk/company/13816396/officers,"https://bvrio.org/pt-br/sobre-nos/#:~:text=A%20BVRio%20tem%20uma%20parceria,positivos%20em%20todo%20o%20mundo.",https://www.simflor.org/,"No projeto diz que a área concentra o arco do desmatamento no bioma amazônico, localizado na parte sul dos estados amazônicos. Em particular, ele se concentra na área de influência (250 km de raio) dos frigoríficos que se estabeleceram na região desde 2008. O programa não está localizado em uma jurisdição coberta por um programa jurisdicional de REDD+.","O georreferenciamento não mostra exatamente as propriedades, mas abrange uma grande extensão de terra, passando por várias terras indígenas. ",,,
BR3380VER,3380,SIMFlor Programme 1,Amazonas,Pauini,AM,Privado ,,,Withdrawn,,,30,2022-2052,15121,,SIM Sustainable Investment Management,Verra,VM0007,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75224&IDKEY=j0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9k103733896,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 1, doravante conhecido como ""SIMFlor1"", é um projeto agrupado localizado no arco do desmatamento no bioma amazônico. O SIMFlor1 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas sob ameaça de desmatamento para a expansão da pecuária extensiva, promovendo assim a conformidade com o Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=69365&IDKEY=a097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87o95654335,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,https://find-and-update.company-information.service.gov.uk/company/13816396/officers,"https://bvrio.org/pt-br/sobre-nos/#:~:text=A%20BVRio%20tem%20uma%20parceria,positivos%20em%20todo%20o%20mundo.",https://www.simflor.org/,"No projeto diz que a área concentra o arco do desmatamento no bioma amazônico, localizado na parte sul dos estados amazônicos. Em particular, ele se concentra na área de influência (250 km de raio) dos frigoríficos que se estabeleceram na região desde 2008. O programa não está localizado em uma jurisdição coberta por um programa jurisdicional de REDD+.","O georreferenciamento não mostra exatamente as propriedades, mas abrange uma grande extensão de terra, passando por várias terras indígenas. ",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,43.500.617/0001-89,Para REDD Projects Ltd,Verra,VM0037,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75224&IDKEY=j0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9k103733896,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,43.192.338/0001-03,REDDA Projetos Ambientais Sociedade Ltda.  ,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,07.472.782/0001-00,ATAIG-PA – Associação dos trabalhadores agroextrativistas da Ilha Grande do Pacajaí Assentamento Pai do Governo Federal ,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,08.885.776/0001-48,ATAGROCAMP - Associação dos trabalhadores agroextrativistas do Alto Camarapí,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,26.318.791/0001-96,ASMOGAC - Associação dos moradores agroextrativistas do assentamento PEAEX Acangatá ,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,20.150.825/0001-08,ARQUICOSTT - Associação Remanescentes de Quilombos da comunidade São Tomé Tauçú ,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3334VER,3334,Projeto Marajó REDD+ ,Pará,Portel,PA,Privado ,,,Withdrawn,,,40,2021-2061,138285,,Clearblue Asset Management Ltd.,Verra,VM0037,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85472&IDKEY=a98klasmf8jflkasf8098afnasfkj98f0a9sfsakjflsakjf8df117865888,,Verra Search Page,,"O Projeto REDD+ do Marajó foi concebido para a proteção das florestas e da rica biodiversidade na Amazônia. Faz parte do setor de Agricultura, Silvicultura e Outros Usos da Terra (AFOLU) na categoria de projeto de Redução de Emissões por Desmatamento e Degradação (REDD). Especificamente, o projeto é da categoria de projeto ""Desmatamento Não Planejado Evitado e Degradação"" (AUDD).",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=85470&IDKEY=ciofj09234rm9oq4jndsma80vcalksdjf98cxkjaf90823nmq3q117863130,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"O projeto contém 4 territórios na mesma região, cada um representado por uma associação legalmente reconhecida. ","A população assentada nesses territórios atendidos pela REDDA é predominantemente ribeirinha, cujas características são de uma população que vive às margens dos rios, sobretudo da caça, pesca e extrativismo vegetal.",,,
BR3332VER,3332,SIMFlor Programme 2 ,"Amazonas, Pará","Envira, Cametá, Óbidos, São Felix do Xingu","AM, PA",Privado ,,,Under development,,,30,2022-2052,37020,,SIMFlor Programme 2 ,Verra,VM0007,4K Earth Science Private Limited (4KES),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75223&IDKEY=n097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d103732517,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 2, doravante conhecido como ""SIMFlor2"", é um projeto agrupado localizado no arco do desmatamento dentro do bioma amazônico. O SIMFlor2 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas ameaçadas de desmatamento para a expansão da pecuária extensiva, promovendo o cumprimento do Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=107877&IDKEY=klksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098f148762383,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR3332VER,3332,SIMFlor Programme 2 ,"Amazonas, Pará","Envira, Cametá, Óbidos, São Felix do Xingu","AM, PA",Privado ,,,Under development,,,30,2022-2052,37020,,BVRio UK Limited,Verra,VM0007,4K Earth Science Private Limited (4KES),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75223&IDKEY=n097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d103732517,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 2, doravante conhecido como ""SIMFlor2"", é um projeto agrupado localizado no arco do desmatamento dentro do bioma amazônico. O SIMFlor2 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas ameaçadas de desmatamento para a expansão da pecuária extensiva, promovendo o cumprimento do Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=107877&IDKEY=klksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098f148762383,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR3332VER,3332,SIMFlor Programme 2 ,"Amazonas, Pará","Envira, Cametá, Óbidos, São Felix do Xingu","AM, PA",Privado ,,,Under development,,,30,2022-2052,37020,,Ecosecurities ,Verra,VM0007,4K Earth Science Private Limited (4KES),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=75223&IDKEY=n097809fdslkjf09rndasfufd098asodfjlkduf09nm23mrn87d103732517,,Verra Search Page,,"O Programa SIMFlor (Implementação Sistemática do Código Florestal Brasileiro) 2, doravante conhecido como ""SIMFlor2"", é um projeto agrupado localizado no arco do desmatamento dentro do bioma amazônico. O SIMFlor2 fornecerá financiamento de carbono para promover a conservação de florestas nativas em áreas ameaçadas de desmatamento para a expansão da pecuária extensiva, promovendo o cumprimento do Código Florestal Brasileiro.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=107877&IDKEY=klksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098f148762383,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
BR3324VER,3324,Ipoá REDD+ Project,Amazonas,Novo Aripuanã,AM,Privado ,,,Registration requested,CAR,,30,2022-2052,17330,12.028.178/0001-20,Carbonext Tecnologia em Soluções Ambientais LTDA,Verra,VM0007,Tüv Süd America Inc (ex Ruby Canyon Engineering Inc.),N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68509&IDKEY=dlksjoiuwqowrnoiuomnckjashoufifmln902309ksdflku098u94473911,,Verra Search Page,https://www.carbonext.com.br/projects/ipoa,"O principal objetivo do Projeto REDD+ do IPOÁ é evitar emissões brutas de base de 2.719.762 tCO2e (média de 90.659 tCO2e/ano), correspondendo a 4.200 hectares de desmatamento evitado ao longo dos 30 anos de vida útil do projeto. O projeto atua em áreas privadas que totalizam 17.386 hectares, dos quais 17.329 hectares são elegíveis para atividades de REDD+, no município de Novo Aripuanã (AM). Benefícios de longo prazo e de alto impacto para as comunidades e a biodiversidade serão proporcionados pelo projeto Ipoá, que serão devidamente quantificados e monitorados por meio do padrão metodológico do CCB. ",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68510&IDKEY=l0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9l94475290,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,Silvio Antonio Balen é o dono da propriedade.,"As duas propriedades ficam próximas à TI Coata-Laranjal, do povo Mundurukú. ",,,
BR3306VER,3306,Buritirana Grouped REDD+ Project,Tocantins,Ponte Alta do Bom Jesus,TO,Privado ,,,Withdrawn,,,30,2020-2050,4037,43.688.286/0001-52,Future Carbon Holding S.A.,Verra,VM0015,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=72484&IDKEY=9903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfj99955436,,Página de Pesquisa Verra,https://carbonmap.com/buritirana-grouped-redd+-project/,"O principal objetivo do Projeto REDD+ Agrupado Buritirana é evitar o desmatamento não planejado (AUD), constituído pelo bioma Cerrado, conhecido como savana brasileira. Esse bioma está severamente ameaçado pela agricultura e pecuária e, como um projeto de REDD sob as regras da VCS, oferece a possibilidade de expandir a conservação para outras áreas no futuro. A área do projeto ocupa propriedades privadas, com área de projeto de 4.037,145 ha, localizadas em Ponte Alta do Bom Jesus, Tocantins, Amazônia Ocidental. Além dos benefícios ecológicos e de carbono do projeto, uma parte dos créditos de carbono gerados será dedicada à melhoria das condições sociais e ambientais na região do projeto, contribuindo especificamente para melhorar o controle do desmatamento e desenvolver educação ambiental e outras atividades sociais.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68286&IDKEY=a0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9m94166394,,,Sim,Brasil,Cerrado,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"Roberto Taiar Arbex, Marcelo Taiar Arbex, Fernanda Schaefer Arbex são donos das propriedades. ",O Projeto REDD+ Agrupado de Buritirana está localizado em uma região denominada MATOPIBA ,,,
BR3306VER,3306,Buritirana Grouped REDD+ Project,Tocantins,Ponte Alta do Bom Jesus,TO,Privado ,,,Withdrawn,,,30,2020-2050,4037,09.448.003/0001-67,ZX Participações S/A,Verra,VM0015,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=72484&IDKEY=9903q4jsafkasjfu90amnmasdfkaidflnmdf9348r09dmfasdfj99955436,,Página de Pesquisa Verra,https://carbonmap.com/buritirana-grouped-redd+-project/,"O principal objetivo do Projeto REDD+ Agrupado Buritirana é evitar o desmatamento não planejado (AUD), constituído pelo bioma Cerrado, conhecido como savana brasileira. Esse bioma está severamente ameaçado pela agricultura e pecuária e, como um projeto de REDD sob as regras da VCS, oferece a possibilidade de expandir a conservação para outras áreas no futuro. A área do projeto ocupa propriedades privadas, com área de projeto de 4.037,145 ha, localizadas em Ponte Alta do Bom Jesus, Tocantins, Amazônia Ocidental. Além dos benefícios ecológicos e de carbono do projeto, uma parte dos créditos de carbono gerados será dedicada à melhoria das condições sociais e ambientais na região do projeto, contribuindo especificamente para melhorar o controle do desmatamento e desenvolver educação ambiental e outras atividades sociais.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68286&IDKEY=a0e98hfalksuf098fnsdalfkjfoijmn4309JLKJFjlaksjfla9m94166394,,,Sim,Brasil,Cerrado,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,"Roberto Taiar Arbex, Marcelo Taiar Arbex, Fernanda Schaefer Arbex são donos das propriedades. ",O Projeto REDD+ Agrupado de Buritirana está localizado em uma região denominada MATOPIBA ,,,
BR3304VER,3304,Boa Esperança Grouped REDD+ Project,Amazonas,Presidente Figueiredo,AM,Privado ,,,Registration and verification approval requested,,,30,2022-2052,8943,24.535.210/0001-42,Nigrum Capital Assessoria e Gestão de Negócios LTDA,Verra,VM0015,Não disponível,N/A,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68250&IDKEY=mq934lkmsad39asjdkfj90qlkalsdkngaf98ulkandDfdvDdfhD94116750,,Verra Search Page,https://ecologica.earth/project/boa-esperanca/,"O principal objetivo do Projeto REDD+ Boa Esperança é evitar o desmatamento não planejado (AUD) de 8.943,38 ha de área do projeto, composta por 100% de floresta amazônica. A área do projeto possui 1 instância, que está localizada dentro de uma propriedade particular, no município de Presidente Figueiredo, Estado do Amazonas. Além dos benefícios ecológicos e de carbono do projeto, uma parte dos créditos de carbono gerados será dedicada à melhoria das condições sociais e ambientais para a comunidade local no entorno da área do projeto, especificamente contribuições para a educação ambiental e outras atividades sociais.",,https://registry.verra.org/mymodule/ProjectDoc/Project_ViewFile.asp?FileID=68251&IDKEY=j8723kjnf7kjandsaslmdv09887vaksmrmnwqkjoiuanfnfuq0n94118129,,,Sim,Brasil,Amazonia,Verra,Cruzagrafos,Receita Federal,Google Earth,,,,,,,,
