rio,estacao,data,cota_atual,data_da_minima,cota_minima,relacao_cota_atual,data_ano,cota_periodo,relacao_cota_atual_ano,codigo
Branco,Boa Vista (Branco),2024-10-04,225,2016-02-14,-56.5,281.5,2016-10-04,142,83,14620000
Branco,Caracaraí (Branco),2024-10-04,214,1998-03-24,-10,224,1998-10-04,242,-28,14710000
P. Careiro,Careiro (P. Careiro),2024-10-03,20,2023-10-28,17,3,2023-10-03,264,-244,15040000
Solimões,Fonte Boa (Solimões),2024-10-04,725,2010-10-22,802,-77,2010-10-04,952,-227,12351000
Madeira,Humaitá (Madeira),2024-10-04,822,2023-10-01,810,12,2023-10-04,867,-45,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-04,32,2023-10-24,36,-4,2023-10-04,252,-220,16030000
Solimões,Itapeuá (Solimões),2024-10-03,-18,2010-10-20,131,-149,2010-10-03,348,-366,13150000
Solimões,Manacapuru (Solimões),2024-10-04,242,2023-10-26,311,-69,2023-10-04,535,-293,14100000
Negro,Manaus (Negro),2024-10-04,1266,2023-10-26,1270,-4,2023-10-04,1502,-236,14990000
Amazonas,Parintins (Amazonas),2024-10-03,-226,2023-10-24,-217,-9,2023-10-03,-56,-170,16350002
Acre,Rio Branco (Acre),2024-10-04,134,2022-10-02,124,10,2022-10-04,185,-51,13600002
Negro,S. G. C. (Negro),2024-10-04,661,1992-02-07,330,331,1992-09-30,757,-96,14320001
Solimões,Tabatinga (Solimões),2024-10-04,-199,2010-10-11,-86,-113,2010-10-04,-5,-194,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-10-04,303,1980-03-13,28,275,1980-10-04,503,-200,14400000
Negro,Barcelos (Negro),2024-10-01,253,1980-03-18,58,195,1980-10-01,461,-208,14480002
Purus,Beruri (Purus),2024-10-01,354,2023-10-25,397,-43,2023-10-01,613,-259,13990000
Branco,Boa Vista (Branco),2024-10-01,150,2016-02-14,-56.5,206.5,2016-10-01,156,-6,14620000
Branco,Caracaraí (Branco),2024-10-01,220,1998-03-24,-10,230,1998-10-01,273,-53,14710000
P. Careiro,Careiro (P. Careiro),2024-09-28,98,2023-10-28,17,81,2023-09-28,378,-280,15040000
Solimões,Fonte Boa (Solimões),2024-10-01,732,2010-10-22,802,-70,2010-10-01,976,-244,12351000
Madeira,Humaitá (Madeira),2024-09-30,800,2023-10-01,810,-10,2023-09-30,916,-116,15630000
Amazonas,Itacoatiara (Amazonas),2024-10-01,61,2023-10-24,36,25,2023-10-01,295,-234,16030000
Solimões,Itapeuá (Solimões),2024-10-01,-4,2010-10-20,131,-135,2010-10-01,354,-358,13150000
Solimões,Manacapuru (Solimões),2024-10-01,282,2023-10-26,311,-29,2023-10-01,593,-311,14100000
Negro,Manaus (Negro),2024-10-01,1305,2023-10-26,1270,35,2023-10-01,1546,-241,14990000
Amazonas,Parintins (Amazonas),2024-09-28,-176,2023-10-24,-217,41,2023-09-28,14,-190,16350002
Acre,Rio Branco (Acre),2024-10-01,135,2022-10-02,124,11,2022-10-01,125,10,13600002
Negro,S. G. C. (Negro),2024-10-01,661,1992-02-07,330,331,1992-09-30,757,-96,14320001
Solimões,Tabatinga (Solimões),2024-10-01,-219,2010-10-11,-86,-133,2010-10-01,45,-264,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-09-30,223,1980-03-13,28,195,1980-09-30,523,-300,14400000
Negro,Barcelos (Negro),2024-09-27,278,1980-03-18,58,220,1980-09-27,458,-180,14480002
Purus,Beruri (Purus),2024-09-27,400,2023-10-25,397,3,2023-09-27,680,-280,13990000
Branco,Boa Vista (Branco),2024-09-27,155,2016-02-14,-56.5,211.5,2016-09-27,203,-48,14620000
Branco,Caracaraí (Branco),2024-09-27,235,1998-03-24,-10,245,1998-09-27,304,-69,14710000
P. Careiro,Careiro (P. Careiro),2024-09-23,202,2023-10-28,17,185,2023-09-23,520,-318,15040000
Solimões,Fonte Boa (Solimões),2024-09-26,738,2010-10-22,802,-64,2010-09-26,982,-244,12351000
Madeira,Humaitá (Madeira),2024-09-26,808,2023-10-01,810,-2,2023-09-26,938,-130,15630000
Amazonas,Itacoatiara (Amazonas),2024-09-27,123,2023-10-24,36,87,2023-09-27,378,-255,16030000
Solimões,Itapeuá (Solimões),2024-09-25,58,2010-10-20,131,-73,2010-09-25,360,-302,13150000
Solimões,Manacapuru (Solimões),2024-09-27,347,2023-10-26,311,36,2023-09-27,640,-293,14100000
Negro,Manaus (Negro),2024-09-27,1373,2023-10-26,1270,103,2023-09-27,1641,-268,14990000
Amazonas,Parintins (Amazonas),2024-09-26,-42,2023-10-24,-217,175,2023-09-26,48,-90,16350002
Acre,Rio Branco (Acre),2024-09-27,127,2022-10-02,124,3,2022-09-27,131,-4,13600002
Negro,S. G. C. (Negro),2024-09-27,635,1992-02-07,330,305,1992-09-27,779,-144,14320001
Solimões,Tabatinga (Solimões),2024-09-27,-224,2010-10-11,-86,-138,2010-09-27,76,-300,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-09-26,237,1980-03-13,28,209,1980-09-26,512,-275,14400000
Negro,Barcelos (Negro),2024-09-20,330,1980-03-18,58,272,1980-09-20,472,-142,14480002
Purus,Beruri (Purus),2024-09-20,521,2023-10-25,397,124,2023-09-20,889,-368,13990000
Branco,Boa Vista (Branco),2024-09-20,206,2016-02-14,-56.5,262.5,2016-09-20,388,-182,14620000
Branco,Caracaraí (Branco),2024-09-20,296,1998-03-24,-10,306,1998-09-20,369,-73,14710000
P. Careiro,Careiro (P. Careiro),2024-09-18,294,2023-10-28,17,277,2023-09-18,704,-410,15040000
Solimões,Fonte Boa (Solimões),2024-09-17,772,2010-10-22,802,-30,2010-09-17,923,-151,12351000
Madeira,Humaitá (Madeira),2024-09-17,830,2023-10-01,810,20,2023-09-17,975,-145,15630000
Amazonas,Itacoatiara (Amazonas),2024-09-20,244,2023-10-24,36,208,2023-09-20,572,-328,16030000
Solimões,Itapeuá (Solimões),2024-09-19,127,2010-10-20,131,-4,2010-09-19,324,-197,13150000
Solimões,Manacapuru (Solimões),2024-09-20,497,2023-10-26,311,186,2023-09-20,874,-377,14100000
Negro,Manaus (Negro),2024-09-20,1508,2023-10-26,1270,238,2023-09-20,1866,-358,14990000
Amazonas,Parintins (Amazonas),2024-09-12,54,2023-10-24,-217,271,2023-09-12,329,-275,16350002
Acre,Rio Branco (Acre),2024-09-20,125,2022-10-02,124,1,2022-09-20,193,-68,13600002
Negro,S. G. C. (Negro),2024-09-20,688,1992-02-07,330,358,1992-09-20,812,-124,14320001
Solimões,Tabatinga (Solimões),2024-09-20,-206,2010-10-11,-86,-120,2010-09-20,117,-323,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-09-20,294,1980-03-13,28,266,1980-09-20,493,-199,14400000
Negro,Barcelos (Negro),2024-09-13,380,1980-03-18,58,322,1980-09-13,479,-99,14480002
Purus,Beruri (Purus),2024-09-13,662,2023-10-25,397,265,2023-09-13,1127,-465,13990000
Branco,Boa Vista (Branco),2024-09-13,213,2016-02-14,-56.5,269.5,2016-09-13,297,-84,14620000
Branco,Caracaraí (Branco),2024-09-13,305,1998-03-24,-10,315,1998-09-13,279,26,14710000
P. Careiro,Careiro (P. Careiro),2024-09-05,628,2023-10-28,17,611,2023-09-05,1054,-426,15040000
Solimões,Fonte Boa (Solimões),2024-09-13,1016,2010-10-22,802,214,2010-09-13,911,105,12351000
Madeira,Humaitá (Madeira),2024-09-13,842,2023-10-01,810,32,2023-09-13,954,-112,15630000
Amazonas,Itacoatiara (Amazonas),2024-09-09,474,2023-10-24,36,438,2023-09-09,826,-352,16030000
Solimões,Itapeuá (Solimões),2024-09-13,230,2010-10-20,131,99,2010-09-13,379,-149,13150000
Solimões,Manacapuru (Solimões),2024-09-13,657,2023-10-26,311,346,2023-09-13,1116,-459,14100000
Negro,Manaus (Negro),2024-09-13,1675,2023-10-26,1270,405,2023-09-13,2091,-416,14990000
Amazonas,Parintins (Amazonas),2024-09-12,54,2023-10-24,-217,271,2023-09-12,329,-275,16350002
Acre,Rio Branco (Acre),2024-09-12,128,2022-10-02,124,4,2022-09-12,137,-9,13600002
Negro,S. G. C. (Negro),2024-09-12,740,1992-02-07,330,410,1992-09-13,854,-114,14320001
Solimões,Tabatinga (Solimões),2024-09-13,-179,2010-10-11,-86,-93,2010-09-13,16,-195,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-09-04,407,1980-03-13,28,379,1980-09-04,510,-103,14400000
Negro,Barcelos (Negro),2024-09-04,458,1980-03-18,58,400,1980-09-04,505,-47,14480002
Purus,Beruri (Purus),2024-09-04,877,2023-10-25,397,480,2023-09-04,1377,-500,13990000
Branco,Boa Vista (Branco),2024-09-04,376,2016-02-14,-56.5,432.5,2016-09-04,216,160,14620000
Branco,Caracaraí (Branco),2024-09-04,481,1998-03-24,-10,491,1998-09-04,426,55,14710000
P. Careiro,Careiro (P. Careiro),2024-09-03,680,2023-10-28,17,663,2023-09-03,1092,-412,15040000
Solimões,Fonte Boa (Solimões),2024-09-04,1042,2010-10-22,802,240,2010-09-04,967,75,12351000
Madeira,Humaitá (Madeira),2024-09-04,867,2023-10-01,810,57,2023-09-04,992,-125,15630000
Amazonas,Itacoatiara (Amazonas),2024-09-03,593,2023-10-24,36,557,2023-09-03,921,-328,16030000
Solimões,Itapeuá (Solimões),2024-08-31,476,2010-10-20,131,345,2010-08-31,692,-216,13150000
Solimões,Manacapuru (Solimões),2024-09-04,879,2023-10-26,311,568,2023-09-04,1341,-462,14100000
Negro,Manaus (Negro),2024-09-04,1901,2023-10-26,1270,631,2023-09-04,2304,-403,14990000
Amazonas,Parintins (Amazonas),2024-09-03,202,2023-10-24,-217,419,2023-09-03,454,-252,16350002
Acre,Rio Branco (Acre),2024-09-04,131,2022-10-02,124,7,2022-09-04,146,-15,13600002
Negro,S. G. C. (Negro),2024-09-04,794,1992-02-07,330,464,1992-09-04,924,-130,14320001
Solimões,Tabatinga (Solimões),2024-09-04,-131,2010-10-11,-86,-45,2010-09-04,-22,-109,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-09-04,407,1980-03-13,28,379,1980-09-04,510,-103,14400000
Negro,Barcelos (Negro),2024-08-30,519,1980-03-18,58,461,1980-08-30,533,-14,14480002
Purus,Beruri (Purus),2024-08-30,996,2023-10-25,397,599,2023-08-30,1478,-482,13990000
Branco,Boa Vista (Branco),2024-08-30,344,2016-02-14,-56.5,400.5,2016-08-30,321,23,14620000
Branco,Caracaraí (Branco),2024-08-30,394,1998-03-24,-10,404,1998-08-30,355,39,14710000
P. Careiro,Careiro (P. Careiro),2024-08-29,806,2023-10-28,17,789,2023-08-29,1164,-358,15040000
Solimões,Fonte Boa (Solimões),2024-08-30,1074,2010-10-22,802,272,2010-08-30,1045,29,12351000
Madeira,Humaitá (Madeira),2024-08-29,908,2023-10-01,810,98,2023-08-29,1071,-163,15630000
Amazonas,Itacoatiara (Amazonas),2024-08-30,677,2023-10-24,36,641,2023-08-30,975,-298,16030000
Solimões,Itapeuá (Solimões),2024-08-30,494,2010-10-20,131,363,2010-08-30,722,-228,13150000
Solimões,Manacapuru (Solimões),2024-08-30,1003,2023-10-26,311,692,2023-08-30,1431,-428,14100000
Negro,Manaus (Negro),2024-08-30,2027,2023-10-26,1270,757,2023-08-30,2391,-364,14990000
Amazonas,Parintins (Amazonas),2024-08-29,287,2023-10-24,-217,504,2023-08-29,496,-209,16350002
Acre,Rio Branco (Acre),2024-08-30,131,2022-10-02,124,7,2022-08-30,150,-19,13600002
Negro,S. G. C. (Negro),2024-08-30,876,1992-02-07,330,546,1992-08-23,1013,-137,14320001
Solimões,Tabatinga (Solimões),2024-08-30,-94,2010-10-11,-86,-8,2010-08-30,76,-170,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-08-22,536,1980-03-13,28,508,1980-08-22,550,-14,14400000
Negro,Barcelos (Negro),2024-08-23,592,1980-03-18,58,534,1980-08-23,564,28,14480002
Purus,Beruri (Purus),2024-08-23,1177,2023-10-25,397,780,2023-08-23,1599,-422,13990000
Branco,Boa Vista (Branco),2024-08-23,278,2016-02-14,-56.5,334.5,2016-08-23,266,12,14620000
Branco,Caracaraí (Branco),2024-08-23,392,1998-03-24,-10,402,1998-08-23,443,-51,14710000
P. Careiro,Careiro (P. Careiro),2024-08-23,950,2023-10-28,17,933,2023-08-23,1248,-298,15040000
Solimões,Fonte Boa (Solimões),2024-08-23,1126,2010-10-22,802,324,2010-08-23,1197,-71,12351000
Madeira,Humaitá (Madeira),2024-08-23,969,2023-10-01,810,159,2023-08-23,1103,-134,15630000
Amazonas,Itacoatiara (Amazonas),2024-08-23,806,2023-10-24,36,770,2023-08-23,1051,-245,16030000
Solimões,Itapeuá (Solimões),2024-08-22,686,2010-10-20,131,555,2010-08-22,944,-258,13150000
Solimões,Manacapuru (Solimões),2024-08-23,1178,2023-10-26,311,867,2023-08-23,1535,-357,14100000
Negro,Manaus (Negro),2024-08-23,2193,2023-10-26,1270,923,2023-08-23,2483,-290,14990000
Amazonas,Parintins (Amazonas),2024-08-21,392,2023-10-24,-217,609,2023-08-21,568,-176,16350002
Acre,Rio Branco (Acre),2024-08-08,145,2022-10-02,124,21,2022-08-08,181,-36,13600002
Negro,S. G. C. (Negro),2024-08-08,876,1992-02-07,330,546,1992-08-23,1013,-137,14320001
Solimões,Tabatinga (Solimões),2024-08-23,4,2010-10-11,-86,90,2010-08-23,178,-174,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-08-22,536,1980-03-13,28,508,1980-08-22,550,-14,14400000
Negro,Barcelos (Negro),2024-08-16,650,1980-03-18,58,592,1980-08-16,610,40,14480002
Purus,Beruri (Purus),2024-08-16,1360,2023-10-25,397,963,2023-08-16,1703,-343,13990000
Branco,Boa Vista (Branco),2024-08-16,521,2016-02-14,-56.5,577.5,2016-08-16,376,145,14620000
Branco,Caracaraí (Branco),2024-08-16,638,1998-03-24,-10,648,1998-08-16,469,169,14710000
P. Careiro,Careiro (P. Careiro),2024-08-12,1150,2023-10-28,17,1133,2023-08-12,1358,-208,15040000
Solimões,Fonte Boa (Solimões),2024-08-16,1200,2010-10-22,802,398,2010-08-16,1327,-127,12351000
Madeira,Humaitá (Madeira),2024-08-16,972,2023-10-01,810,162,2023-08-16,1112,-140,15630000
Amazonas,Itacoatiara (Amazonas),2024-08-16,912,2023-10-24,36,876,2023-08-16,1113,-201,16030000
Solimões,Itapeuá (Solimões),2024-08-16,865,2010-10-20,131,734,2010-08-16,1052,-187,13150000
Solimões,Manacapuru (Solimões),2024-08-16,1338,2023-10-26,311,1027,2023-08-16,1622,-284,14100000
Negro,Manaus (Negro),2024-08-16,2328,2023-10-26,1270,1058,2023-08-16,2557,-229,14990000
Amazonas,Parintins (Amazonas),2024-08-14,465,2023-10-24,-217,682,2023-08-14,612,-147,16350002
Acre,Rio Branco (Acre),2024-08-08,145,2022-10-02,124,21,2022-08-08,181,-36,13600002
Negro,S. G. C. (Negro),2024-08-08,934,1992-02-07,330,604,1992-08-16,1024,-90,14320001
Solimões,Tabatinga (Solimões),2024-08-16,6,2010-10-11,-86,92,2010-08-16,322,-316,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-08-16,590,1980-03-13,28,562,1980-08-16,575,15,14400000
Negro,Barcelos (Negro),2024-08-09,686,1980-03-18,58,628,1980-08-09,652,34,14480002
Purus,Beruri (Purus),2024-08-09,1505,2023-10-25,397,1108,2023-08-09,1791,-286,13990000
Branco,Boa Vista (Branco),2024-08-09,432,2016-02-14,-56.5,488.5,2016-08-09,527,-95,14620000
Branco,Caracaraí (Branco),2024-08-09,621,1998-03-24,-10,631,1998-08-09,474,147,14710000
P. Careiro,Careiro (P. Careiro),2024-08-09,1190,2023-10-28,17,1173,2023-08-09,1382,-192,15040000
Solimões,Fonte Boa (Solimões),2024-08-09,1321,2010-10-22,802,519,2010-08-09,1410,-89,12351000
Madeira,Humaitá (Madeira),2024-08-09,991,2023-10-01,810,181,2023-08-09,1219,-228,15630000
Amazonas,Itacoatiara (Amazonas),2024-08-09,990,2023-10-24,36,954,2023-08-09,1164,-174,16030000
Solimões,Itapeuá (Solimões),2024-08-09,1041,2010-10-20,131,910,2010-08-09,1176,-135,13150000
Solimões,Manacapuru (Solimões),2024-08-09,1456,2023-10-26,311,1145,2023-08-09,1691,-235,14100000
Negro,Manaus (Negro),2024-08-09,2420,2023-10-26,1270,1150,2023-08-09,2614,-194,14990000
Amazonas,Parintins (Amazonas),2024-08-01,558,2023-10-24,-217,775,2023-08-01,682,-124,16350002
Acre,Rio Branco (Acre),2024-08-07,142,2022-10-02,124,18,2022-08-07,176,-34,13600002
Negro,S. G. C. (Negro),2024-08-07,1006,1992-02-07,330,676,1992-08-02,975,31,14320001
Solimões,Tabatinga (Solimões),2024-08-09,96,2010-10-11,-86,182,2010-08-09,385,-289,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-08-09,638,1980-03-13,28,610,1980-08-09,600,38,14400000
Negro,Barcelos (Negro),2024-08-02,721,1980-03-18,58,663,1980-08-02,683,38,14480002
Purus,Beruri (Purus),2024-08-02,1609,2023-10-25,397,1212,2023-08-02,1867,-258,13990000
Branco,Boa Vista (Branco),2024-08-02,626,2016-02-14,-56.5,682.5,2016-08-02,570,56,14620000
Branco,Caracaraí (Branco),2024-08-02,777,1998-03-24,-10,787,1998-08-02,557,220,14710000
P. Careiro,Careiro (P. Careiro),2024-08-02,1266,2023-10-28,17,1249,2023-08-02,1436,-170,15040000
Solimões,Fonte Boa (Solimões),2024-08-02,1471,2010-10-22,802,669,2010-08-02,1544,-73,12351000
Madeira,Humaitá (Madeira),2024-08-02,1013,2023-10-01,810,203,2023-08-02,1194,-181,15630000
Amazonas,Itacoatiara (Amazonas),2024-08-02,1053,2023-10-24,36,1017,2023-08-02,1208,-155,16030000
Solimões,Itapeuá (Solimões),2024-08-02,1162,2010-10-20,131,1031,2010-08-02,1275,-113,13150000
Solimões,Manacapuru (Solimões),2024-08-02,1548,2023-10-26,311,1237,2023-08-02,1752,-204,14100000
Negro,Manaus (Negro),2024-08-02,2499,2023-10-26,1270,1229,2023-08-02,2666,-167,14990000
Amazonas,Parintins (Amazonas),2024-08-01,558,2023-10-24,-217,775,2023-08-01,682,-124,16350002
Acre,Rio Branco (Acre),2024-08-02,146,2022-10-02,124,22,2022-08-02,177,-31,13600002
Negro,S. G. C. (Negro),2024-08-02,1006,1992-02-07,330,676,1992-08-02,975,31,14320001
Solimões,Tabatinga (Solimões),2024-08-02,279,2010-10-11,-86,365,2010-08-02,432,-153,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-08-02,665,1980-03-13,28,637,1980-08-02,627,38,14400000
Negro,Barcelos (Negro),2024-07-26,754,1980-03-18,58,696,1980-07-26,713,41,14480002
Purus,Beruri (Purus),2024-07-26,1688,2023-10-25,397,1291,2023-07-26,1942,-254,13990000
Branco,Boa Vista (Branco),2024-07-26,741,2016-02-14,-56.5,797.5,2016-07-26,661,80,14620000
Branco,Caracaraí (Branco),2024-07-26,822,1998-03-24,-10,832,1998-07-26,490,332,14710000
P. Careiro,Careiro (P. Careiro),2024-07-26,1324,2023-10-28,17,1307,2023-07-26,1482,-158,15040000
Solimões,Fonte Boa (Solimões),2024-07-26,1566,2010-10-22,802,764,2010-07-26,1584,-18,12351000
Madeira,Humaitá (Madeira),2024-07-26,1061,2023-10-01,810,251,2023-07-26,1286,-225,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-26,1101,2023-10-24,36,1065,2023-07-26,1248,-147,16030000
Solimões,Itapeuá (Solimões),2024-07-26,1245,2010-10-20,131,1114,2010-07-26,1340,-95,13150000
Solimões,Manacapuru (Solimões),2024-07-26,1614,2023-10-26,311,1303,2023-07-26,1804,-190,14100000
Negro,Manaus (Negro),2024-07-26,2557,2023-10-26,1270,1287,2023-07-26,2711,-154,14990000
Amazonas,Parintins (Amazonas),2024-07-25,596,2023-10-24,-217,813,2023-07-25,714,-118,16350002
Acre,Rio Branco (Acre),2024-07-26,151,2022-10-02,124,27,2022-07-26,185,-34,13600002
Negro,S. G. C. (Negro),2024-07-26,1017,1992-02-07,330,687,1992-07-26,950,67,14320001
Solimões,Tabatinga (Solimões),2024-07-26,450,2010-10-11,-86,536,2010-07-26,572,-122,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-26,692,1980-03-13,28,664,1980-07-26,632,60,14400000
Negro,Barcelos (Negro),2024-07-18,783,1980-03-18,58,725,1980-07-18,745,38,14480002
Purus,Beruri (Purus),2024-07-18,1772,2023-10-25,397,1375,2023-07-18,1995,-223,13990000
Branco,Boa Vista (Branco),2024-07-18,601,2016-02-14,-56.5,657.5,2016-07-18,462,139,14620000
Branco,Caracaraí (Branco),2024-07-18,648,1998-03-24,-10,658,1998-07-18,650,-2,14710000
P. Careiro,Careiro (P. Careiro),2024-07-18,1392,2023-10-28,17,1375,2023-07-18,1522,-130,15040000
Solimões,Fonte Boa (Solimões),2024-07-18,1651,2010-10-22,802,849,2010-07-18,1660,-9,12351000
Madeira,Humaitá (Madeira),2024-07-17,1102,2023-10-01,810,292,2023-07-17,1334,-232,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-18,1148,2023-10-24,36,1112,2023-07-18,1288,-140,16030000
Solimões,Itapeuá (Solimões),2024-07-18,1328,2010-10-20,131,1197,2010-07-18,1420,-92,13150000
Solimões,Manacapuru (Solimões),2024-07-18,1677,2023-10-26,311,1366,2023-07-18,1846,-169,14100000
Negro,Manaus (Negro),2024-07-18,2614,2023-10-26,1270,1344,2023-07-18,2746,-132,14990000
Amazonas,Parintins (Amazonas),2024-07-17,630,2023-10-24,-217,847,2023-07-17,747,-117,16350002
Acre,Rio Branco (Acre),2024-07-18,164,2022-10-02,124,40,2022-07-18,189,-25,13600002
Negro,S. G. C. (Negro),2024-07-18,1048,1992-02-07,330,718,1992-07-18,950,98,14320001
Solimões,Tabatinga (Solimões),2024-07-18,528,2010-10-11,-86,614,2010-07-18,505,23,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-18,711,1980-03-13,28,683,1980-07-18,660,51,14400000
Negro,Barcelos (Negro),2024-07-12,811,1980-03-18,58,753,1980-07-12,779,32,14480002
Purus,Beruri (Purus),2024-07-12,1807,2023-10-25,397,1410,2023-07-12,2018,-211,13990000
Branco,Boa Vista (Branco),2024-07-12,480,2016-02-14,-56.5,536.5,2016-07-12,574,-94,14620000
Branco,Caracaraí (Branco),2024-07-12,618,1998-03-24,-10,628,1998-07-12,719,-101,14710000
P. Careiro,Careiro (P. Careiro),2024-07-12,1412,2023-10-28,17,1395,2023-07-12,1544,-132,15040000
Solimões,Fonte Boa (Solimões),2024-07-12,1703,2010-10-22,802,901,2010-07-12,1743,-40,12351000
Madeira,Humaitá (Madeira),2024-07-10,1208,2023-10-01,810,398,2023-07-10,1426,-218,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-12,1176,2023-10-24,36,1140,2023-07-12,1309,-133,16030000
Solimões,Itapeuá (Solimões),2024-07-11,1386,2010-10-20,131,1255,2010-07-11,1476,-90,13150000
Solimões,Manacapuru (Solimões),2024-07-12,1713,2023-10-26,311,1402,2023-07-12,1871,-158,14100000
Negro,Manaus (Negro),2024-07-12,2645,2023-10-26,1270,1375,2023-07-12,2768,-123,14990000
Amazonas,Parintins (Amazonas),2024-07-11,651,2023-10-24,-217,868,2023-07-11,767,-116,16350002
Acre,Rio Branco (Acre),2024-07-12,175,2022-10-02,124,51,2022-07-12,201,-26,13600002
Negro,S. G. C. (Negro),2024-07-12,1046,1992-02-07,330,716,1992-07-12,926,120,14320001
Solimões,Tabatinga (Solimões),2024-07-12,584,2010-10-11,-86,670,2010-07-12,562,22,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-07-12,705,1980-03-13,28,677,1980-07-12,684,21,14400000
Negro,Barcelos (Negro),2024-07-05,834,1980-03-18,58,776,1980-07-05,801,33,14480002
Purus,Beruri (Purus),2024-07-05,1844,2023-10-25,397,1447,2023-07-05,2039,-195,13990000
Branco,Boa Vista (Branco),2024-07-05,669,2016-02-14,-56.5,725.5,2016-07-05,587,82,14620000
Branco,Caracaraí (Branco),2024-07-05,813,1998-03-24,-10,823,1998-07-05,702,111,14710000
P. Careiro,Careiro (P. Careiro),2024-07-05,1439,2023-10-28,17,1422,2023-07-05,1567,-128,15040000
Solimões,Fonte Boa (Solimões),2024-07-05,1780,2010-10-22,802,978,2010-07-05,1839,-59,12351000
Madeira,Humaitá (Madeira),2024-07-05,1213,2023-10-01,810,403,2023-07-05,1430,-217,15630000
Amazonas,Itacoatiara (Amazonas),2024-07-05,1202,2023-10-24,36,1166,2023-07-05,1333,-131,16030000
Solimões,Itapeuá (Solimões),2024-06-28,1454,2010-10-20,131,1323,2010-06-28,1537,-83,13150000
Solimões,Manacapuru (Solimões),2024-07-05,1742,2023-10-26,311,1431,2023-07-05,1892,-150,14100000
Negro,Manaus (Negro),2024-07-05,2670,2023-10-26,1270,1400,2023-07-05,2793,-123,14990000
Amazonas,Parintins (Amazonas),2024-06-30,676,2023-10-24,-217,893,2023-06-30,790,-114,16350002
Acre,Rio Branco (Acre),2024-07-05,177,2022-10-02,124,53,2022-07-05,215,-38,13600002
Negro,S. G. C. (Negro),2024-07-05,1054,1992-02-07,330,724,1992-07-05,961,93,14320001
Solimões,Tabatinga (Solimões),2024-07-05,632,2010-10-11,-86,718,2010-07-05,699,-67,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-28,764,1980-03-13,28,736,1980-06-28,756,8,14400000
Negro,Barcelos (Negro),2024-06-28,834,1980-03-18,58,776,1980-06-28,791,43,14480002
Purus,Beruri (Purus),2024-06-28,1870,2023-10-25,397,1473,2023-06-28,2056,-186,13990000
Branco,Boa Vista (Branco),2024-06-28,693,2016-02-14,-56.5,749.5,2016-06-28,584,109,14620000
Branco,Caracaraí (Branco),2024-06-28,788,1998-03-24,-10,798,1998-06-28,643,145,14710000
P. Careiro,Careiro (P. Careiro),2024-06-28,1451,2023-10-28,17,1434,2023-06-28,1583,-132,15040000
Solimões,Fonte Boa (Solimões),2024-06-28,1847,2010-10-22,802,1045,2010-06-28,1943,-96,12351000
Madeira,Humaitá (Madeira),2024-06-26,1416,2023-10-01,810,606,2023-06-26,1612,-196,15630000
Amazonas,Itacoatiara (Amazonas),2024-06-28,1214,2023-10-24,36,1178,2023-06-28,1352,-138,16030000
Solimões,Itapeuá (Solimões),2024-06-28,1454,2010-10-20,131,1323,2010-06-28,1537,-83,13150000
Solimões,Manacapuru (Solimões),2024-06-28,1759,2023-10-26,311,1448,2023-06-28,1908,-149,14100000
Negro,Manaus (Negro),2024-06-28,2682,2023-10-26,1270,1412,2023-06-28,2810,-128,14990000
Amazonas,Parintins (Amazonas),2024-06-20,692,2023-10-24,-217,909,2023-06-20,810,-118,16350002
Acre,Rio Branco (Acre),2024-06-28,179,2022-10-02,124,55,2022-06-28,254,-75,13600002
Negro,S. G. C. (Negro),2024-06-28,1094,1992-02-07,330,764,1992-06-28,918,176,14320001
Solimões,Tabatinga (Solimões),2024-06-28,670,2010-10-11,-86,756,2010-06-28,783,-113,10100000
Negro,S.I.N.Tapuruquara (Negro),2024-06-28,764,1980-03-13,28,736,1980-06-28,756,8,14400000
Negro,Barcelos (Negro),2024-06-21,821,1980-03-18,58,763,1980-06-21,769,52,14480002
Purus,Beruri (Purus),2024-06-21,1883,2023-10-25,397,1486,2023-06-21,2065,-182,13990000
Branco,Boa Vista (Branco),2024-06-21,647,2016-02-14,-56.5,703.5,2016-06-21,514,133,14620000
Branco,Caracaraí (Branco),2024-06-21,779,1998-03-24,-10,789,1998-06-21,726,53,14710000
